numero_experimento;dataset;estructura_de_datos;cantidad_tweets;tiempo_ejecucion_us
1;auspol2019;ClosedDoubleHashing_user_screen_name;100000;22522
1;auspol2019;STLUnorderedMap_user_id;100000;21770
1;auspol2019;STLUnorderedMap_user_screen_name;100000;14882
1;auspol2019;Chaining_user_id;110000;18614
1;auspol2019;Chaining_user_screen_name;110000;16737
1;auspol2019;ClosedLinear_user_id;110000;15959
1;auspol2019;ClosedLinear_user_screen_name;110000;15247
1;auspol2019;ClosedQuadratic_user_id;110000;15121
1;auspol2019;ClosedQuadratic_user_screen_name;110000;15672
1;auspol2019;ClosedDoubleHashing_user_id;110000;24983
1;auspol2019;ClosedDoubleHashing_user_screen_name;110000;25311
1;auspol2019;STLUnorderedMap_user_id;110000;16470
1;auspol2019;STLUnorderedMap_user_screen_name;110000;15173
1;auspol2019;Chaining_user_id;120000;19893
1;auspol2019;Chaining_user_screen_name;120000;21111
1;auspol2019;ClosedLinear_user_id;120000;18060
1;auspol2019;ClosedLinear_user_screen_name;120000;20694
1;auspol2019;ClosedQuadratic_user_id;120000;19060
1;auspol2019;ClosedQuadratic_user_screen_name;120000;18409
1;auspol2019;ClosedDoubleHashing_user_id;120000;29282
1;auspol2019;ClosedDoubleHashing_user_screen_name;120000;29641
1;auspol2019;STLUnorderedMap_user_id;120000;22113
1;auspol2019;STLUnorderedMap_user_screen_name;120000;19035
1;auspol2019;Chaining_user_id;130000;24947
1;auspol2019;Chaining_user_screen_name;130000;23827
1;auspol2019;ClosedLinear_user_id;130000;20676
1;auspol2019;ClosedLinear_user_screen_name;130000;21219
1;auspol2019;ClosedQuadratic_user_id;130000;26751
1;auspol2019;ClosedQuadratic_user_screen_name;130000;23645
1;auspol2019;ClosedDoubleHashing_user_id;130000;30502
1;auspol2019;ClosedDoubleHashing_user_screen_name;130000;29021
1;auspol2019;STLUnorderedMap_user_id;130000;19941
1;auspol2019;STLUnorderedMap_user_screen_name;130000;18734
1;auspol2019;Chaining_user_id;140000;24822
1;auspol2019;Chaining_user_screen_name;140000;23387
1;auspol2019;ClosedLinear_user_id;140000;24378
1;auspol2019;ClosedLinear_user_screen_name;140000;19428
1;auspol2019;ClosedQuadratic_user_id;140000;27245
1;auspol2019;ClosedQuadratic_user_screen_name;140000;23273
1;auspol2019;ClosedDoubleHashing_user_id;140000;36179
1;auspol2019;ClosedDoubleHashing_user_screen_name;140000;30649
1;auspol2019;STLUnorderedMap_user_id;140000;19103
1;auspol2019;STLUnorderedMap_user_screen_name;140000;18712
1;auspol2019;Chaining_user_id;150000;23542
1;auspol2019;Chaining_user_screen_name;150000;22298
1;auspol2019;ClosedLinear_user_id;150000;20487
1;auspol2019;ClosedLinear_user_screen_name;150000;19411
1;auspol2019;ClosedQuadratic_user_id;150000;19804
1;auspol2019;ClosedQuadratic_user_screen_name;150000;20241
1;auspol2019;ClosedDoubleHashing_user_id;150000;32651
1;auspol2019;ClosedDoubleHashing_user_screen_name;150000;35493
1;auspol2019;STLUnorderedMap_user_id;150000;22726
1;auspol2019;STLUnorderedMap_user_screen_name;150000;21378
1;auspol2019;Chaining_user_id;160000;40464421
1;auspol2019;Chaining_user_screen_name;160000;27042
1;auspol2019;ClosedLinear_user_id;160000;22729
1;auspol2019;ClosedLinear_user_screen_name;160000;21769
1;auspol2019;ClosedQuadratic_user_id;160000;21482
1;auspol2019;ClosedQuadratic_user_screen_name;160000;20912
1;auspol2019;ClosedDoubleHashing_user_id;160000;38351
1;auspol2019;ClosedDoubleHashing_user_screen_name;160000;34855
1;auspol2019;STLUnorderedMap_user_id;160000;22110
1;auspol2019;STLUnorderedMap_user_screen_name;160000;21168
1;auspol2019;Chaining_user_id;170000;34961
1;auspol2019;Chaining_user_screen_name;170000;28640
1;auspol2019;ClosedLinear_user_id;170000;24184
1;auspol2019;ClosedLinear_user_screen_name;170000;23683
1;auspol2019;ClosedQuadratic_user_id;170000;25569
1;auspol2019;ClosedQuadratic_user_screen_name;170000;23488
1;auspol2019;ClosedDoubleHashing_user_id;170000;37442
1;auspol2019;ClosedDoubleHashing_user_screen_name;170000;36686
1;auspol2019;STLUnorderedMap_user_id;170000;24061
1;auspol2019;STLUnorderedMap_user_screen_name;170000;23212
1;auspol2019;Chaining_user_id;180000;28131
1;auspol2019;Chaining_user_screen_name;180000;26510
1;auspol2019;ClosedLinear_user_id;180000;25466
1;auspol2019;ClosedLinear_user_screen_name;180000;23954
1;auspol2019;ClosedQuadratic_user_id;180000;23801
1;auspol2019;ClosedQuadratic_user_screen_name;180000;24266
1;auspol2019;ClosedDoubleHashing_user_id;180000;38589
